mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
-184.35635,145.28171,4.504261,40.32154,-13.867313,28.775549,-11.454918,14.060949,-15.696022,1.6244886,-5.8873067,-7.720355,5.700101,-6.769617,7.8728204,-9.02997,10.48669,1.9823297,7.0854588,0.06207106,Gelupulenisamaram
-104.69751,167.06529,-9.003698,44.563156,-28.755312,40.49008,-10.05465,23.826258,-24.103394,8.796346,-3.5152524,-5.1758275,9.174898,-9.639717,19.130796,-9.271311,16.843435,0.57059526,12.056126,10.044062,Gelupulenisamaram
-296.50845,128.08551,24.249659,50.975395,-6.7770905,22.583542,-8.975974,10.29,-17.7142,-6.4372764,-14.528314,-14.542426,-6.7248297,-15.980116,-8.302528,-24.214098,-4.6743526,-8.038885,7.22629,0.25016424,Gelupulenisamaram
-100.78107,167.99623,-9.143314,38.85461,-30.284988,43.654305,-13.486473,16.685925,-16.180851,9.164815,-3.7836506,-2.7428105,10.361299,-2.35058,23.211973,-7.301328,15.491854,-1.8274299,5.2085395,1.567151,Gelupulenisamaram
-125.744286,171.72746,-3.680203,42.725803,-18.458961,34.633236,-11.738269,15.824433,-11.132391,8.484166,-5.0291705,-2.47187,6.6089377,-6.4070034,13.692082,-9.92835,12.777274,2.4228394,13.38192,3.7096224,Gelupulenisamaram
-146.61258,171.49928,-0.6996789,55.20035,-12.755337,9.5322,-8.580025,26.411476,-6.1951575,11.164455,-4.571863,-8.041123,-0.1188206,-7.242346,5.907925,-11.425305,10.805255,-0.94962436,11.955512,3.7128909,Gelupulenisamaram
-141.86827,178.54814,-7.8713384,37.099285,-5.2561884,27.060837,-7.47777,13.846706,-0.11085734,14.791409,-13.910613,-5.191782,7.549905,-5.5325093,13.153144,-8.1370125,7.882737,-3.7687612,0.43624878,-5.195871,Gelupulenisamaram
-149.97887,178.84016,-9.086572,34.70174,-4.2461157,27.047865,-8.384467,12.283986,4.706946,13.284652,-7.2181034,-2.9563751,3.9639513,-8.007381,10.620294,-4.8165956,6.4705515,-0.23891048,6.808352,0.28558123,Gelupulenisamaram
-119.13846,165.5081,-30.98646,36.535954,-7.266754,38.970196,-16.751204,9.325916,-4.486615,30.044472,17.97017,-6.5459747,0.30928153,-10.762349,2.3229532,-9.620592,1.6830345,-11.406327,9.237544,5.9291925,Gelupulenisamaram
-131.84015,165.50958,-18.300808,41.854836,-9.815814,28.035084,-15.661883,12.792468,-3.1500993,15.974772,15.416305,0.2904728,4.3730083,-4.0691705,1.0592577,-12.65246,-0.74788254,-11.14253,4.0520353,-0.16060992,Gelupulenisamaram
-152.23033,172.69044,-6.521838,40.35584,-13.991725,30.567436,-7.7460294,16.961727,0.32496303,9.342689,-5.2932644,-3.7766979,1.2496552,-8.299611,13.962681,2.454079,19.01161,1.1328987,3.9343894,-8.254478,Gelupulenisamaram
